chemical_entity	defined_class
http://purl.obolibrary.org/obo/CHEBI_23359	http://purl.obolibrary.org/obo/UPHENO_0076309
http://purl.obolibrary.org/obo/CHEBI_27638	http://purl.obolibrary.org/obo/UPHENO_0076310
http://purl.obolibrary.org/obo/CHEBI_25016	http://purl.obolibrary.org/obo/UPHENO_0076311
http://purl.obolibrary.org/obo/CHEBI_25255	http://purl.obolibrary.org/obo/UPHENO_0076312
http://purl.obolibrary.org/obo/CHEBI_34905	http://purl.obolibrary.org/obo/UPHENO_0076313
http://purl.obolibrary.org/obo/CHEBI_29699	http://purl.obolibrary.org/obo/UPHENO_0076314
http://purl.obolibrary.org/obo/CHEBI_25195	http://purl.obolibrary.org/obo/UPHENO_0076315
http://purl.obolibrary.org/obo/CHEBI_2814	http://purl.obolibrary.org/obo/UPHENO_0076316
http://purl.obolibrary.org/obo/CHEBI_33216	http://purl.obolibrary.org/obo/UPHENO_0076317
http://purl.obolibrary.org/obo/CHEBI_37415	http://purl.obolibrary.org/obo/UPHENO_0076318
http://purl.obolibrary.org/obo/CHEBI_16236	http://purl.obolibrary.org/obo/UPHENO_0076319
http://purl.obolibrary.org/obo/CHEBI_2555	http://purl.obolibrary.org/obo/UPHENO_0076320
http://purl.obolibrary.org/obo/CHEBI_6432	http://purl.obolibrary.org/obo/UPHENO_0076321
http://purl.obolibrary.org/obo/CHEBI_4792	http://purl.obolibrary.org/obo/UPHENO_0076322
http://purl.obolibrary.org/obo/CHEBI_39214	http://purl.obolibrary.org/obo/UPHENO_0076323
http://purl.obolibrary.org/obo/CHEBI_6015	http://purl.obolibrary.org/obo/UPHENO_0076324
http://purl.obolibrary.org/obo/CHEBI_16136	http://purl.obolibrary.org/obo/UPHENO_0076325
http://purl.obolibrary.org/obo/CHEBI_25107	http://purl.obolibrary.org/obo/UPHENO_0076326
http://purl.obolibrary.org/obo/CHEBI_26710	http://purl.obolibrary.org/obo/UPHENO_0076327
http://purl.obolibrary.org/obo/CHEBI_30512	http://purl.obolibrary.org/obo/UPHENO_0076328
http://purl.obolibrary.org/obo/CHEBI_30513	http://purl.obolibrary.org/obo/UPHENO_0076329
http://purl.obolibrary.org/obo/CHEBI_18291	http://purl.obolibrary.org/obo/UPHENO_0076330
http://purl.obolibrary.org/obo/CHEBI_22633	http://purl.obolibrary.org/obo/UPHENO_0076331
http://purl.obolibrary.org/obo/CHEBI_24431	http://purl.obolibrary.org/obo/UPHENO_0076332
http://purl.obolibrary.org/obo/CHEBI_47499	http://purl.obolibrary.org/obo/UPHENO_0076333
http://purl.obolibrary.org/obo/CHEBI_27363	http://purl.obolibrary.org/obo/UPHENO_0076334
http://purl.obolibrary.org/obo/CHEBI_29222	http://purl.obolibrary.org/obo/UPHENO_0076335
http://purl.obolibrary.org/obo/CHEBI_28694	http://purl.obolibrary.org/obo/UPHENO_0076336
http://purl.obolibrary.org/obo/CHEBI_28790	http://purl.obolibrary.org/obo/UPHENO_0076337
http://purl.obolibrary.org/obo/CHEBI_44423	http://purl.obolibrary.org/obo/UPHENO_0076338
http://purl.obolibrary.org/obo/CHEBI_50826	http://purl.obolibrary.org/obo/UPHENO_0076339
http://purl.obolibrary.org/obo/CHEBI_27563	http://purl.obolibrary.org/obo/UPHENO_0076340
http://purl.obolibrary.org/obo/CHEBI_3638	http://purl.obolibrary.org/obo/UPHENO_0076341
http://purl.obolibrary.org/obo/CHEBI_5615	http://purl.obolibrary.org/obo/UPHENO_0076342
http://purl.obolibrary.org/obo/CHEBI_35702	http://purl.obolibrary.org/obo/UPHENO_0076343
http://purl.obolibrary.org/obo/CHEBI_18723	http://purl.obolibrary.org/obo/UPHENO_0076344
http://purl.obolibrary.org/obo/CHEBI_28260	http://purl.obolibrary.org/obo/UPHENO_0076345
http://purl.obolibrary.org/obo/CHEBI_5118	http://purl.obolibrary.org/obo/UPHENO_0076346
http://purl.obolibrary.org/obo/CHEBI_4781	http://purl.obolibrary.org/obo/UPHENO_0076347
http://purl.obolibrary.org/obo/CHEBI_30297	http://purl.obolibrary.org/obo/UPHENO_0076348
http://purl.obolibrary.org/obo/CHEBI_22977	http://purl.obolibrary.org/obo/UPHENO_0076349
http://purl.obolibrary.org/obo/CHEBI_33083	http://purl.obolibrary.org/obo/UPHENO_0076350
http://purl.obolibrary.org/obo/CHEBI_18248	http://purl.obolibrary.org/obo/UPHENO_0076351
http://purl.obolibrary.org/obo/CHEBI_7035	http://purl.obolibrary.org/obo/UPHENO_0076352
http://purl.obolibrary.org/obo/CHEBI_16240	http://purl.obolibrary.org/obo/UPHENO_0076502
http://purl.obolibrary.org/obo/CHEBI_45081	http://purl.obolibrary.org/obo/UPHENO_0076353
http://purl.obolibrary.org/obo/CHEBI_27656	http://purl.obolibrary.org/obo/UPHENO_0076354
http://purl.obolibrary.org/obo/CHEBI_28864	http://purl.obolibrary.org/obo/UPHENO_0076355
http://purl.obolibrary.org/obo/CHEBI_27412	http://purl.obolibrary.org/obo/UPHENO_0076356
